OBJECTID,AREA_,PERIMETER,CLASS,AREA_ACRES,SHAPEAREA,SHAPELEN
1,20288972.42497,24001.01795,109,466,20288972.42866,24001.017553
2,33452178.29366,50122.61256,020,768,33452179.52464,50122.612908
3,19100241.34482,19388.78544,109,438,19100241.51808,19388.785604
4,4308252.6294,10874.61701,117,99,4308252.4478,10874.617468
5,24046137.47532,26776.38465,113,552,24046137.32822,26776.38456
6,126649423.76464,63699.39057,103,2907,126649423.92869,63699.391023
7,91815410.39911,89489.26159,103,2108,91815410.9104,89489.260033
8,1175168076.92603,1357511.41629,020,26978,1175168074.91924,1357511.417661
9,359025.06327,2350.91304,098,8,359025.09442,2350.912897
10,122823083.58195,60563.46139,094,2820,122823083.43717,60563.460767
11,1311527.97943,4322.94056,098,30,1311528.02653,4322.940631
12,183315107.94946,81409.55648,109,4208,183315107.25264,81409.556976
13,191389285.1908,87971.05493,091,4394,191389285.269,87971.054836
14,73563383.88968,59177.89942,099,1689,73563384.22946,59177.899957
15,1781899.87928,5217.54419,098,41,1781899.83672,5217.544046
16,174738238.50827,123226.8486,119,4011,174738238.47061,123226.84979
17,255921207.5836,101467.143,094,5875,255921207.19896,101467.142259
18,601119853.13522,151370.70429,094,13800,601119852.43547,151370.704847
19,1962117.69565,5861.12922,141,45,1962117.7736,5861.12934
20,243584702.45489,76783.18797,109,5592,243584702.39215,76783.188146
21,3063378.04412,6724.02377,098,70,3063377.95178,6724.023546
22,23869512.53743,28047.87464,094,548,23869511.1695,28047.874761
23,225767216.07624,89792.30499,099,5183,225767216.26136,89792.305804
24,728986.08373,3084.26486,098,17,728986.03583,3084.26461
25,882905.54265,3713.6497,098,20,882905.50133,3713.649639
26,181042327.32323,94303.17106,103,4156,181042327.40246,94303.171435
27,3723167.50079,11034.36018,140,85,3723167.50951,11034.360134
28,247935014.84039,323055.1164,015,5692,247935014.12536,323055.11622
29,10361166.08804,15969.34676,139,238,10361165.92253,15969.346962
30,491844217.9942,177924.37339,097,11291,491844218.94186,177924.375273
31,553404.09485,3133.75392,140,13,553404.09601,3133.754023
32,501524418.99899,175088.53688,141,11513,501524419.31874,175088.536625
33,320643330.25164,144427.59703,107,7361,320643330.00492,144427.597187
34,91739328.69367,76326.67126,093,2106,91739328.38232,76326.671377
35,262118381.46028,112290.43649,097,6017,262118381.93081,112290.437099
36,8092551.10272,18477.36499,124,186,8092551.11459,18477.365077
37,844371249.99608,214508.37926,105,19384,844371249.34625,214508.378416
38,319719982.06532,141072.19475,099,7340,319719981.96385,141072.195122
39,450841486.42348,190507.77773,099,10350,450841486.92806,190507.778576
40,13000186.80711,17295.30679,119,298,13000187.00648,17295.306987
41,72416350.88243,76926.51424,097,1662,72416350.73506,76926.513012
42,181582665.25708,87698.39701,123,4169,181582665.33376,87698.397062
43,5291160.86273,12023.98528,105,121,5291160.68221,12023.985209
44,200293519.15467,109152.79754,091,4598,200293518.9126,109152.797859
45,252842845.03582,143551.87506,137,5804,252842844.77322,143551.874622
46,1433813.95112,4985.04699,094,33,1433813.90068,4985.046811
47,8996820.70322,14521.99063,094,207,8996820.62652,14521.990821
48,4602285.27307,11157.28658,094,106,4602285.1578,11157.286273
49,4899779.60658,13151.71915,094,112,4899779.61722,13151.719479
50,151454301.0378,139679.70097,121,3477,151454300.46533,139679.700905
51,6428893.14218,12177.66118,094,148,6428893.1217,12177.661055
52,29270365.4941,46342.73094,103,672,29270365.90497,46342.731077
53,7845183.89749,17409.11465,111,180,7845183.85707,17409.115283
54,7209942.40814,13416.13326,141,166,7209942.58126,13416.133566
55,30694456.14652,72830.95681,020,705,30694456.34216,72830.956217
56,10281820.13878,23964.84532,140,236,10281819.95869,23964.844617
57,475093.81024,2815.27771,140,11,475093.77106,2815.277576
58,1940515.7372,7034.08538,140,45,1940515.8006,7034.085446
59,9255630.11024,12881.15878,107,212,9255630.00923,12881.158824
60,14796239.93721,17132.29784,103,340,14796240.03926,17132.297705
61,3265574.63383,7258.53573,107,75,3265574.75484,7258.535758
62,14068302.15673,16401.84433,107,323,14068302.07132,16401.844451
63,22481013.38198,25647.95474,107,516,22481013.20231,25647.954683
64,43918519.2429,34198.46872,122,1008,43918519.43935,34198.467821
65,86226276.62199,52817.28988,108,1979,86226276.53689,52817.290313
66,1517808.73185,5230.0981,105,35,1517808.72841,5230.098082
67,17086184.20266,25252.07353,119,392,17086184.36861,25252.073403
68,61370335.90411,30672.65071,101,1409,61370336.49712,30672.650399
69,220689843.9844,93327.59299,109,5066,220689844.0926,93327.593335
70,10381948.86058,17994.91821,124,238,10381948.7989,17994.918776
71,61186025.73038,43496.96409,110,1405,61186025.68152,43496.963735
72,6990315.52527,16641.55999,141,160,6990315.58859,16641.559992
73,18259423.69999,33923.1891,118,419,18259423.99082,33923.189547
74,9674580.56803,14606.78758,119,222,9674580.47978,14606.787617
75,5682817.20083,17707.96039,118,130,5682817.29331,17707.960812
76,8118229.47076,26913.15653,117,186,8118229.52569,26913.155782
77,9647804.04561,17003.55027,100,221,9647804.01971,17003.549833
78,61874409.95466,52378.47427,115,1420,61874410.0438,52378.474441
79,26426798.2023,25917.56122,141,607,26426798.25972,25917.560894
80,44196553.21969,36729.23676,102,1015,44196553.37661,36729.236364
81,7776831.50127,13515.18384,118,179,7776831.4078,13515.183562
82,65927397.61434,48248.98111,097,1513,65927397.88529,48248.981122
83,28663539.64866,44852.82903,098,658,28663539.89685,44852.82845
84,4962500.79001,11509.17975,107,114,4962500.7307,11509.179744
85,180483615.44647,63647.41231,103,4143,180483615.73309,63647.412233
86,1223659.00881,4316.65867,107,28,1223659.03506,4316.658891
87,8379638.63984,14168.91422,103,192,8379638.55827,14168.91446
88,3873738.45924,8618.54434,117,89,3873738.48366,8618.543831
89,54721012.0374,43040.12881,115,1256,54721011.84393,43040.128711
90,5507654.73859,8907.36394,103,126,5507654.62138,8907.364014
91,73382148.00933,59561.25169,103,1685,73382148.12757,59561.250113
92,7470054.75807,11869.13718,107,171,7470054.92595,11869.137392
93,27186899.56633,25883.41788,114,624,27186899.36365,25883.417768
94,14157090.43306,20156.17669,118,325,14157090.47178,20156.17692
95,115049990.25933,48859.62841,101,2641,115049990.38765,48859.628385
96,42207732.90375,43141.58762,119,969,42207733.21904,43141.587687
97,16150162.20693,16327.16361,105,371,16150162.15608,16327.163432
98,58956308.35003,51887.96389,097,1353,58956308.4365,51887.962521
99,14417767.98777,21733.8284,120,331,14417767.68527,21733.827911
100,11341246.85492,18103.72794,119,260,11341246.86226,18103.727919
101,95093741.85415,46260.90811,105,2183,95093741.93345,46260.907561
102,27189565.20501,31681.10777,127,624,27189565.25951,31681.107805
103,119842171.88236,73166.64613,128,2751,119842171.62492,73166.645676
104,22114684.24904,49405.94545,102,508,22114683.98468,49405.945885
105,9064466.4573,21632.20935,103,208,9064466.24569,21632.209358
106,56246416.48901,54412.24844,098,1291,56246416.36188,54412.247859
107,44089917.08076,36182.07543,138,1012,44089916.7059,36182.075372
108,125053014.14476,64378.28754,119,2871,125053014.35226,64378.288098
109,11678928.07557,18279.24055,098,268,11678928.26677,18279.241282
110,125781012.34184,68086.7774,119,2888,125781013.1706,68086.777733
111,18936824.95065,22172.4409,107,435,18936825.03197,22172.441038
112,20832581.65425,29073.30008,125,478,20832581.74956,29073.300129
113,8241324.38442,15511.56316,097,189,8241324.4316,15511.563076
114,127433445.42329,82009.49604,097,2925,127433445.03215,82009.496453
115,682271793.74699,156825.98914,102,15663,682271794.56844,156825.989332
116,13433757.08338,15336.46179,101,308,13433757.0704,15336.461995
117,8493239.18027,14599.65075,135,195,8493239.18591,14599.651216
118,3969119.45257,9004.29854,097,91,3969119.56246,9004.298512
119,349252275.1956,99615.05451,101,8018,349252275.4609,99615.054126
120,6689968.80606,11156.48476,118,154,6689968.9187,11156.484929
121,191097528.11891,96756.28887,097,4387,191097527.66507,96756.289207
122,14135367.7546,19883.27603,128,325,14135367.84642,19883.276386
123,398524716.09803,134406.53916,132,9149,398524716.41706,134406.538617
124,147953885.76106,118795.88815,097,3397,147953885.67225,118795.887534
125,7920262.62005,16112.32453,131,182,7920262.49883,16112.324614
126,174042959.12811,139279.7008,099,3995,174042959.50787,139279.699921
127,157874559.17084,94466.92977,143,3624,157874558.96301,94466.928707
128,163501471.16676,173993.87997,136,3753,163501470.69322,173993.879225
129,305769908.67411,196775.96152,091,7019,305769911.31342,196775.961674
130,184909179.82825,102735.56106,148,4245,184909179.86886,102735.560282
131,2078665.64604,7984.35483,099,48,2078665.60394,7984.35493
132,487831852.38877,141162.31953,055,11199,487831851.79066,141162.319272
133,462336996.23614,204225.53688,053,10614,462336996.60165,204225.536038
134,219962066.57331,114346.39981,097,5050,219962067.39462,114346.399523
135,500754357.84076,150375.74796,093,11496,500754357.83274,150375.747885
136,7570683.61235,12555.34956,098,174,7570683.66038,12555.349644
137,5466850.53767,14539.35435,136,126,5466850.57436,14539.354193
138,756560879.51303,127394.28622,156,17368,756560879.15826,127394.2858
139,520427707.02317,134485.35914,171,11947,520427706.57649,134485.359182
140,14602668.98362,17620.07161,125,335,14602669.06438,17620.071707
141,263004564.02717,120570.92546,054,6038,263004563.7479,120570.924104
142,2611955.42368,8117.38309,146,60,2611955.53668,8117.383064
143,877907728.70501,187757.84111,047,20154,877907728.74351,187757.840434
144,365074520.15527,145820.1632,064,8381,365074520.56782,145820.163604
145,108615556.03454,52353.66249,119,2493,108615556.37662,52353.662537
146,8003817.7865,12629.07625,101,184,8003817.81966,12629.076546
147,571312.27864,5042.48493,146,13,571312.35336,5042.484626
148,344319265.31784,175528.68581,063,7904,344319264.62507,175528.686015
149,132505670.39897,48538.7019,098,3042,132505670.60159,48538.702527
